URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4035106,"Unit B1/56 Airedale Street, City Centre",For sale by negotiation,"CBD COMMERCIAL UNIT WITH CAR PARKS

56 Airedale Street comprises an approximately 45m² commercial unit with two car parks. The unit is part of the property known as Tetra House, a quality, high-rise residential development comprising 14 levels of residential units and additional street level retail tenancies. The development has two frontages.

The building was completed in March 2007 by Kalmar Construction, an established and reputable commercial construction company. The construction is of typical reinforced concrete column and beam.

This building is currently used residentially and has a resource consent for residential use, however, council have not issued a code compliance certificate for residential conversion.

KEY FEATURES:

Small CBD office with two car parks
Zoned Business - City Centre
Excellent nearby amenity
Close to Queen Street and universities
Read more",Wayne Muir : 027828 1186 | Ruby Duan : 021024 68787
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4043760,"Unit 1B/12 O'Connell Street, City Centre",For sale by negotiation,"INVESTMENT WITH OWNER-OCCUPIER POTENTIAL

Great opportunity to secure a fully leased investment in the High Street precinct with the opportunity to occupy one of the tenancies while generating income from the other two. Situated in the heart of the CBD, the immediate area is very popular with professional office users, with its proximity to Queen Street and Shortland Street.

The unit is currently leased to three separate tenants, providing a net return of circa $91,000 per annum. The tenancies are very well presented with exposed ceilings, cable tray lighting and air-conditioning.

The property appeals to investors and owner-occupiers seeking an affordable investment with multiple income streams, in a modern, well-located building.

KEY FEATURES:

Net return circa $91,000 per annum
335m² with three tenancies
Modern low-rise building
Fantastic central city location-High Street Precinct
Very well-presented units
Ideal investment with owner-occupier opportunity
Read more",John Stringer : 021758 078 | Wayne Muir : 027828 1186
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4058710,"Level 2/2 Emily Place, City Centre",For sale by negotiation,"BRITOMART OFFICE FLOOR - MOTIVATED VENDOR

Rare opportunity to secure the whole second floor in this well-presented, modern medium-rise office building. 

Situated in the heart of the CBD, the immediate area is very popular with professional office users due to its proximity to Queen Street and Britomart Transport Centre. 

Level 2 comprises approximately 155m² and can be vacant with three months’ notice. 


Whole floor available 
Level 2 approximately 155m² plus two car parks
Modern building 
IEP 118% NBS 
Fantastic central city location 
Ideal for owner-occupiers
Motivated vendor asking $800,000 including GST
Read more",John Stringer : 021758 078
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4071198,"1 Union Street, City Centre",For sale by negotiation,"A TEMPLE OF THOUGHT, THE HEIGHT OF OPPORTUNITY

A superbly located two-level corner property built in mid-1928, comprising a character brick temple designed to seat 270 persons. The property benefits from Business - City Centre zoning and proximity to major transport routes.

KEY FEATURES:

Freehold, standalone site of 171m²
Convenient CBD location, close to motorway network, major bus routes, and the (soon to be completed) City Rail Link
Beautiful character building of 219m² gross floor area, ripe for occupation or redevelopment
Zoned Business – City Centre, allowing for intensive, high-rise development incorporating the existing structure
Vacant possession, perfect for owner-occupiers and developers

The Higher Thought Temple, designed in 1927 and built in 1928, is a building shrouded in mystery to the many daily commuters now driving by.

The Higher Thought Temple was designed in the stripped classical style by Devonport architect Henry F. Robinson to serve as a nondenominational church where people could study the principles of religion, free from restrictions or spiritual dogma. The building was constructed by Craig Brothers. Original architectural drawings note that it was a double-brick and concrete church hall for the Auckland Higher Thought Centre. The origins of Higher Thought were based on an American philosophical movement, ‘New Thought’, that grew in popularity in the late 1800s.

Higher Thought New Zealand was incorporated in 1930. The Higher Thought Temple was reported to be the first institution of its type built in New Zealand, reflecting the comparatively high profile of alternative spiritual philosophies in New Zealand during the 1920s.

Contact the listing agent to learn more about this exciting opportunity to own this unique part of Auckland’s history.

Read more",Colin Stewart : 021555 642
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4076664,"Level 4/26 Hobson Street, City Centre","For Sale $950,000Plus GST (if any)","MOTIVATED VENDOR – MODERN FULL-FLOOR OFFICE IN PRIME CBD LOCATION

An exceptional opportunity to secure a modern, full-floor office in the heart of Auckland’s CBD. This well-presented 325m² space features a contemporary fitout and offers flexibility for both owner-occupiers and investors.

PROPERTY FEATURES:

325m² gross floor area
Entire floor tenancy with stylish, professional fitout
Three secure car parks on separate titles
Vacant possession available – or vendor open to leasing back as a tenant
Surrounded by top-quality amenities including cafes, public transport, and parking
Prime central location – walking distance to SkyCity, Britomart, and Commercial Bay

The vendor is highly motivated to do a deal. With flexibility around occupation and an asking price of $950,000 + GST (if any), this is a rare chance to secure a premium CBD property at exceptional value. All serious offers will be considered.

Contact us today for more information or to arrange a private viewing.

Read more",Colin Stewart : 021555 642 | Craig Watson : 027496 7660
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4087300,"Unit 1G/55 High Street, City Centre",For sale by negotiation,"HIGH STREET SHOWROOM / OFFICE / RETAIL GEM

Barfoot & Thompson Commercial is proud to exclusively market and sell this property at 1G, 55 High Street, Auckland Central.

This 220m² Freehold commercial unit went through an exciting refurbishment, and it offers outstanding flexibility with a sophisticated high-stud frontage and office space at the rear. It has four modern toilets and a shower, a kitchenette, meeting rooms and more. Ideal for consultants, solicitors, accountants, architects, other professional services or retail operators.

With Mixed Use zoning and residential apartments above, the property also presents the opportunity for live/work or residential conversion (subject to consents and approval).

Located within the same complex as the popular Mezze Bar, hospitality use might also be possible, subject to the appropriate consents and approval.

This property is surrounded by strong neighbouring owners/tenants, including Farmers, Health 2000, Mezze Bar, Mad Pot (popular Asian eatery), various retailers, and beauty salons. It enjoys foot traffic and exposure in one of the CBD’s busiest laneways.

KEY FEATURES:

Approximately 220m² 
Freehold Strata title
Sophisticated high stud front plus office at rear
Recently refurbished
Four modern bathrooms and a shower
Mixed Use zoning has residential, live/work, and hospitality potential
Prime High Street location with strong neighbouring businesses
Motivated vendor

Opportunities combining character, versatility, and location in Auckland’s CBD are rare. Enquire now for details or to arrange an inspection with the sole agent.

Read more",Ruby Duan : 021024 68787
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/4098801,City Centre,For sale by negotiation,"PRIME CBD EDUCATION PRECINCT PORTFOLIO

Barfoot & Thompson Commercial are pleased to present the Symonds Street Portfolio - a rare, large-scale Freehold amalgamation occupying a commanding ridgeline position within Auckland’s education precinct.

Comprising five adjoining titles at 57, 67 & 69 Symonds Street, 7 City Road and 15–17 Liverpool Street, the portfolio represents a substantial 9,628m² landholding with 17,374m² of existing improvements and significant future development potential, for sale individually or together as one package.

Strategically positioned between The University of Auckland and Auckland University of Technology, the properties benefit from entrenched demand drivers generated by one of New Zealand’s largest tertiary education clusters. This location has historically demonstrated resilient, counter-cyclical occupancy performance underpinned by education, accommodation, and allied commercial uses.
Connectivity will be further enhanced by the imminent completion of the City Rail Link, with Karanga-a-Hape Station located approximately 350–500 metres from the portfolio. This transformative infrastructure investment is expected to materially strengthen pedestrian flow, accessibility, and long-term capital growth fundamentals across the precinct.

The portfolio currently generates substantial income with clear leasing upside, while Business - City Centre zoning (50 metre height) provides exceptional optionality for future redevelopment. Potential pathways include purpose-built student accommodation, build-to-rent, hotel, mixed-use intensification, or vertical expansion - all supported by a rare on-site parking allocation of 482 car parks in a CBD environment increasingly constrained by parking supply.

This is a genuine city-shaping opportunity - combining scale, income resilience, development flexibility, and long-term strategic land value in one of Auckland’s most tightly held growth corridors.

INVESTMENT HIGHLIGHTS:

Five adjoining Freehold titles totalling 9,628m²
17,374m² NLA across four office buildings
Net passing income - $5,444,982 per annum
Fully leased income - $6,335,789 per annum
86% occupancy with immediate leasing upside
Average rental circa $266/m²
482 on-site car parks
Business - City Centre zoning with a general 50 metre height overlay
Located within Auckland’s established education precinct
350-500 metres to Karanga-a-Hape CRL Station (City Rail Link)
Flexible acquisition options – available in one line or individually
Multiple redevelopment and intensification pathways

57, 67 & 69 Symonds Street, 7 City Road and 15-17 Liverpool Street are being offered for sale, individually or together, via an Expressions of Interest (EOI) campaign closing 4:00pm, Wednesday 8 April 2026 (unless sold prior).

View website here: symondsstreetportfolio.com

Read more",Ian Hall : 021451 411 | John Stringer : 021758 078
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/office/90284,"Unit 2B/175 Queen Street, City Centre","For Sale $318,000Plus GST (if any)","SIGNIFICANT PRICE REDUCTION!

On offer is this amazing opportunity to secure an office space within the bustling Central Business District at an affordable price! Perched on the second floor of the iconic tower at 175 Queen Street, this newly renovated office offers a truly enviable location with stunning city views and a vibrant surrounding atmosphere.

This office space has recently undergone a renovation and has brand new commercial carpets, LED lighting throughout, interior painting and premium glass partitions. Three extra rooms were created by these partitions including an executive office and two meeting rooms. This ensures a fresh and modern environment for your business. With updated interiors, stylish finishes, and state-of-the-art facilities, you'll enjoy a contemporary workspace that reflects professionalism and sophistication.

Tailor the office space to your exact specifications! With a total floor area of 82m², this office space offers two separate entrances, allowing for convenient access to two distinct office spaces. Currently, 20m² is tenanted for $190 + GST per week including outgoings. The remaining 62m² is owner-occupied and the owner is willing to stay on as a lessee for up to a year or to vacate the space, depending on your needs.

KEY FEATURES:

82m² newly renovated office space with existing fitout
Great natural light and stunning views
Convenience of Wilson Parking nearby
Situated close to Britomart, Commercial Bay and Albert Park
Cafes and restaurants at your doorstep

Contact us now to arrange a viewing and secure your spot in the heart of the CBD.

Read more",Ruby Duan : 021024 68787 | Jack Hu : 021733 339
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/retail/4004920,"17B Wakefield Street, City Centre","For Sale $500,000Plus GST (if any)","AFFORDABLE COMMERCIAL INVESTMENT IN THE CBD

Looking to invest in a lucrative venture in the heart of Auckland CBD? We have the perfect opportunity for you! Presenting a commercial property built in 2016 with excellent rental income from a busy fish and chip business, in a high-traffic location around apartments and IMAX.

This property is a dream investment with an impressive rental income potential. Situated in the vibrant and busy Central Business District surrounded by office complexes, apartments, universities, retail shops and movie theatres, this location has a good amount of foot traffic on a daily basis. Being the only property in the complex with an extraction system fully installed, your rental income is guaranteed to soar for years to come.

KEY FEATURES:

Stratum in Freehold title
Commercial complex built in 2016
Has extraction installed at the vendor's expense of $50,000
Long stable existing lease agreement to a thriving fish and chip business
Annual rental income plus capital gains
CV at $640,000 and any offer will be considered!

The CBD is constantly evolving, and this location promises long-term growth potential. As the area flourishes, so will your investment value and rental income.

Don't miss this opportunity to own such an affordable commercial property in a prime CBD location! 

Read more",Ruby Duan : 021024 68787
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/retail/4021996,"Unit 2H/239 Queen Street, City Centre","For Sale $295,000Plus GST (if any)","ENTRY-LEVEL INVESTMENT

Look no further, this 28m² (approximately) retail shop is currently leased to a massage therapist, generating $24,870 per annum plus GST gross rent ($18,990.44 per annum plus GST net) for a 3-year term starting from 20 March 2023, with one right of renewal for an additional 3 years.

Situated on level 1 of Mid City Arcade, the premises enjoy a diverse mix of tenancies, including fashion, beauty, eateries, and is anchored by City Fitness Gym. Access to the
building is available via both Queen Street and Elliott Street.

 

KEY FEATURES:

28m² (approximately) retail shop
Annual rent of $24,870 plus GST gross
Part of the bustling Mid City Arcade
Affordable price
Read more",Jane Tang : 021780 661
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/retail/4022233,"396 Queen Street, City Centre",For sale by negotiation,"GRAB YOUR SLICE OF QUEEN STREET

Here’s an opportunity to get in on the ground floor, literally and figuratively, on some of the hottest retail in New Zealand.

With the return of students and tourists, Queen Street is open for business again and this small retail shop, together with a separate storage area is your opportunity to invest or be master of your own destiny and set up that retail business you’ve always wanted.

Enquire now through the Sole Agents to get 2024 rolling for you!

Read more",Scott Whitten : 021685 063
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/retail/4033994,"Unit 102/70 Albert Street, City Centre","For Sale $350,000Plus GST (if any)","PRICED TO MOVE

This is a fantastic opportunity for owner-occupiers and add-value investors to secure a retail unit in a location that is set to benefit massively from the completion of the City Rail Link, with the unit in close proximity and en route to the new Te Waihorotiu station (Aotea).

The property comprises a 29m² vacant retail unit situated on the ground floor of the Barclay Suites Apartments in the heart of the CBD. The retail unit is a modern clean and tidy space with a high stud, polished concrete flooring and large display windows. The location of the retail unit benefits from a consistent and stable customer base from the 110 apartments above, along with the strong foot traffic from passer-by’s.

The Barclay Suites provides quality hotel accommodation strategically situated in the CBD close to Queen Street, one block from SkyCity, and a few blocks from the Viaduct and Britomart.

The property is for sale with vacant possession providing owner-occupiers and investors the opportunity to secure their own premises in the CBD with substantial upside from the completion of the City Rail Link.


29m² retail unit
Vacant
Flexible uses
Owner-occupier / add-value
Strategic location in the heart of CBD and close to the new Te Waihorotiu station (Aotea)
Call now for more details
Read more",Justin Lowe : 027834 3608 | John Stringer : 021758 078
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/retail/4034001,"Unit G01/74B Pitt Street, City Centre","For Sale $743,000Plus GST (if any)","SUBWAY RETAIL INVESTMENT OPPOSITE CRL ENTRANCE

Incredible opportunity to purchase an affordable retail unit in the heart of the CBD, opposite the entrance to Beresford Square train station, part of the City Rail Link.

The strategically positioned unit comprises approximately 97m² and is situated on the ground floor of the Chatham Apartment building on Pitt Street, just off Karangahape Road. The unit is occupied by a long-standing tenant, Subway, who has been in occupation since 2014 with an annual rental of $43,727.

This is a must-see for investors seeking an affordable passive investment with long-term upside from the completion of the City Rail Link.


97m² retail unit
$43,727 + GST rental per annum from long-standing tenant operating as Subway
Fantastic CBD location, a stone's throw from Karangahape Road
Opposite entrance to Beresford Square train station, part of the City Rail Link
High growth location
Call now for more details
Read more",Justin Lowe : 027834 3608 | John Stringer : 021758 078
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/retail/4039037,City Centre,"For Sale $619,000Plus GST (if any)","MOTIVATED VENDOR - MUST SELL

Discover an exceptional opportunity to own a prime retail space located directly opposite the iconic Auckland Town Hall. Nestled within the vibrant heart of the city's bustling business and entertainment hub, this compact yet versatile 53m² area is tailor-made for retail endeavours.

KEY FEATURES:

Highly coveted Queen Street 'golden mile' location
Strategic positioning opposite Auckland Town Hall enhances visibility and prestige
Attracts significant foot traffic, ensuring ample exposure for your business
Conveniently close to all essential amenities
Vacant possession

The motivated owner is eager to secure occupancy and invites all reasonable offers. Don't miss out on this chance to establish your business in one of Auckland's most sought-after retail destinations. Contact us today to seize this remarkable opportunity.

Read more",Jane Tang : 021780 661
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/retail/4045330,"G20/396 Queen Street, City Centre","For Sale $385,000Plus GST (if any)","CBD RETAIL UNIT - WELL PRESENTED AND READY TO GO

A rare opportunity to  secure a fully fitted Freehold retail unit right in the heart of Auckland’s CBD.

Located at the busy intersection of Queen Street and Mayoral Drive, this 29m² shop enjoys constant foot traffic from university students, office workers, and tourists alike.

Recently refurbished and thoughtfully laid out, the premises includes:

One shampoo basin
Three modern salon chairs
Three LED mirrors
Custom cabinetry, new flooring, and lighting

This property is offered on a Freehold strata title with low body corporate levies and council rates, making it a cost-effective investment. Licensing requirements are straightforward, with the premises having successfully operated as a salon for many years. The estimated rental return is $25,000 per annum, representing an attractive yield of approximately 6.5%. Perfect for investors wanting a simple, ready-to-rent asset, or for owner-operators seeking a compact, professional space without the hassle of fitout costs.

Quality freehold shops in this part of Queen Street rarely come up for sale; this one won’t last long!

Read more",Jane Tang : 021780 661
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/retail/4046666,"Unit A109/22 Courthouse Lane, City Centre",For sale by negotiation,"RARE OPPORTUNITY IN THE HEART OF AUCKLAND CBD

Don’t miss this chance to own a gem in the vibrant Chancery Square, Auckland’s premier retail destination. This 51m² retail unit is just minutes from High Street, Metropolis Apartments, and Freyberg Square, offering unparalleled convenience and exposure.

Featuring a brand-new lease returning $30,000 per annum, which commenced on 31 July 2024 for three years, with two rights of renewal (ROR) of three years, this property presents an affordable and secure investment opportunity.

Chancery Square is renowned for its mix of fashion boutiques, beauty salons, cafes, and restaurants, drawing in a diverse and consistent flow of customers. The property is just a five-minute walk to Queen Street and provides easy access to motorways, ensuring high visibility and accessibility.

KEY FEATURES:

51m² retail unit with its own amenities
Returning $30,000 per annum net
Centrally located within Chancery Square
Close proximity to Queen Street, Albert Park, and Freyberg Square

For further information and to arrange a viewing, please contact the listing agent.

Read more",Jane Tang : 021780 661
https://www.barfoot.co.nz/property/commercial/auckland-city/city-centre/retail/4079559,"Unit 101/70 Anzac Avenue, City Centre",For sale by negotiation,"BRAND NEW CBD RETAIL WITH COURTYARD

An outstanding opportunity to secure a brand-new retail unit fronting Anzac Avenue, located within the prestigious Anzac Connect Apartments Tower in Auckland Central.

This prime retail space offers a total area of approximately 418m², comprising 212m² of internal space and an expansive 206m² outdoor courtyard. Additional benefits include storage spaces across two basement levels and a designated rooftop decking area.

A building consent was granted in March 2025 for an approved layout featuring a central café with bar and kitchen, a leisure area near the main entrance, three offices, a meeting room, toilets, and access to a large external terrace ideal for a stylish, modern workspace concept.

No building work has commenced, and the premises will be sold in bare shell condition, providing a true blank canvas to customise to your exact needs.

Situated within walking distance of Auckland University, Britomart Train Station, Queen Street, and surrounded by a growing residential catchment, this is a fantastic opportunity to establish your presence in a high-demand location.

KEY FEATURES:

Brand new, modern retail space
Excellent natural light with seamless indoor/outdoor flow
Prime CBD location, close to Auckland University, Shortland Street, and Britomart
Flexible, pillarless layout for multiple business concepts
Vacant possession - ready for your vision

Contact the listing agent today for further information and viewing arrangements.

Read more",Jane Tang : 021780 661
