URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11016423,"12D/2 White Street, City Centre","$430 per week, available 13th March","One bedroom apartment at Bianco Off Queen

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details.

Welcome to your new home in the heart of the city. This stunning 1-bedroom apartment offers the perfect blend of comfort and convenience, making it an ideal choice for urban dwellers looking for a premium living experience.

Key features of this property include:
- Furnished with a king bed
- 1 bathroom
- Spacious lounge area
- Large deck
- Air conditioning
- Separate washer and dryer for added convenience
- Cold and Hot Water Included

Don't miss this opportunity to live in a beautifully appointed apartment that ticks all the boxes for modern city living. Contact us today to schedule a viewing and make this your new home sweet home!

Available Date – 13/03/2026
Suitable for a maximum of 2 tenants.
No smokers allowed.

$430.00 per week.

MOVE IN COSTS:
- 4 x weeks bond
- 2 x week rent in advance
TOTAL: $2700.00

Please copy and paste this link to book a viewing:
https://book.inspectrealestate.co.nz/RegisterNewNZ?agentID=BT-39&uniqueID=11016423

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.
https://www.2apply.co.nz/login?ReturnUrl=%2FForm%3FagentId%3DBT-39%26uniqueId%3D11016423

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11018983,"1016/430 Queen Street, City Centre","$540 per week, available 20th March","2-Bedroom Apartment in the Heart of Auckland - Prime Location- Hot and cold water included in the re

Hot and cold water included in the rent.

This 2-bedroom apartment is located on the 10th floor in a fantastic spot right in the heart of Auckland. It’s just minutes away from Queen Street and several universities, including the University of Auckland and Auckland University of Technology (AUT).

The apartment offers two standard-sized bedrooms and a combined kitchen and lounge area, providing a comfortable living space. Enjoy the convenience of being within walking distance to local shops, restaurants, and public transport.

Perfect for students or professionals looking for a central, convenient location.

Total moving in cost:
1 week rent in advance
4 weeks bond

Please register for veiwings. This can be done by going to the listing on our website at Barfoot & Thompson Blockhouse Bay - https://www.barfoot.co.nz/branches/blockhouse-bay?tab=ForRent or email me direct on s.liu8@barfoot.co.nz (TXT: 027 836 5085)

Are you a Landlord keen to have the best Property Manager look after your investment? Then get in touch today and experience the Barfoot and Thompson difference
(09) 626 4872 | 027 836 5085

Read more",Stanley Liu : 027836 5085
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11021821,"11C/2 White Street, City Centre","$450 per week, available 9th March","Fully furnished and cold water included

Photos are staged

Elevated and tucked away behind Auckland's golden mile (Queen Street) this smart city apartment makes perfect sense. Situated in Bianco off Queen - a highly regarded and well run complex with a mixture of both hotel suites and private residences.

The apartment itself is brilliantly presented and well proportioned compared to the shoebox style units that you are used to seeing in the city market.

A Location that you simply can not ignore - close to the entertainment hubs of the city including Karangahape Road, Sky City complex and the bars and restaurants of downtown Auckland. Academics and students are virtually on the doorstep of Auckland University and AUT.

Safe, secure and built to the highest standards

Read more",Rowan Ma : 027702 2032
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11023562,"811/76 Wakefield Street, City Centre","$550 per week, available 19th March","Fully furnished two bedroom apartment

This is the apartment you've been looking for to make life at University as stress free as possible. It's only five minutes walk away from campus and there are so many cafes, eateries and snack shops all around the area.

Plus all of the big items are here - you just need to bring a suitcase and the basics like bedding and some kitchen utensils. Look what's already here...
1 × Double bed
1 × Single bed
3 × Bedside tables
1 × Double sofa
2 × Single sofas
4 × Chairs
Dining table
Coffee table
Washing machine
Oven
Dishwasher
Refrigerator
Microwave
Bathtub

Features include:
- Warm and sunny
- Decks off lounge and bedroom
- 100% Healthy Homes compliant
- Key tag security access
- Ultra fast broadband

Move in costs:
One weeks rent in advance - $550.00
Four weeks rent as bond - $2,200.00
TOTAL - $2,750.00

DO NOT GO ONTO THE PROPERTY AT ANY TIME WITHOUT AN AGENT.

VIEWINGS: You must register to view this property, so please go to the listing on our website and click ""book a viewing"". This way we can keep you up to date on the property and send you viewing times. If there is not a suitable viewing time please still register and we will notify you of the next viewing times.

BEWARE OF SCAMS! Barfoot & Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing ID and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person.

LANDLORDS: Barfoot and Thompson Swanson offers full property management services. Please give me a call to discuss your requirements on 027 839 9603 or email p.walsh@barfoot.co.nz

Read more",Patrick Walsh : 027839 9603
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11023874,"4C/182 Federal Street, City Centre","$450 per week, available 2nd April","Furnished One Bedroom in Hampton Court with Cold Water Included

HAMPTON COURT

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details.

A desirable location, this apartment has no need for a car!

Furnished,
One Bedroom - Bed lifts up for extra storage underneath,
One Bathroom,
COLD WATER INCLUDED
Approx. 47sqm,
NORTH EAST Facing,
Open plan lounge/dining,
High ceilings,
Separate Laundry Area,
FIXED TERM,
Security tag/fob access system.

*Property is staged with small furnishings for photos*

REMEDIAL WORK IS DUE TO BE COMPLETED AND ALL SCAFF/WRAPPING REMOVED BEFORE THE START DATE (all going well and if they keep to schedule)

A sunny and spacious, FURNISHED one bedroom apartment located just behind St Matthew in the City. Located across the road from Sky City, walking distance to Queen St, Supermarkets and all the entertainment the city can offer. The apartment offers loads of storage and a gorgeous modern kitchen with beautiful modern and comfortable furnishings.

Available Date – 02/04/2026
Suitable for a maximum of 1-2 tenants.
No smokers allowed.

$450.00 per week.

MOVE IN COSTS:
- 4 x weeks bond = $1800
- 2 x week rent in advance = $900
TOTAL: $2700

Please copy and paste this link to book a viewing:
https://book.inspectrealestate.co.nz/RegisterNewNZ?agentID=BT-39&uniqueID=11023874

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.
2apply.co.nz/Form?agentId=BT-39&uniqueId=11023874

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",Stacey Cartmell : 027501 9785
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/23002524,"9J/147 Hobson Street, City Centre","$420 per week, available 14th March","Furnished 2 Bedroom City Apartment

Refurbished two-bedroom Auckland CBD apartment available in a prime, central location on Hobson Street;

2 Bedrooms,
1 bathroom,
Easy motorway access,
Ideal for 2-3 adults, or a small family of 3,
No pets/smokers,
No parking,
Whiteware is supplied,
Most furnishings are provided,
The rent is inclusive of cold water.

The ""Harvard"" apartments are only minutes away from Auckland's vibrant Viaduct Harbour and CBD shopping precinct. Auckland University, AUT and language schools are all within walking distance. Southern, Western and Northern motorways are just up the road.

Available from 14/03, $420 per week. For more info, please contact Amar Durakovic on 021 479 566

Move in costs: The first two weeks rent and the bond, equivalent to four weeks rent.

Read more",Amar Durakovic : 021479 566
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/23003709,"9K/1 Emily Place, City Centre","$400 per week, available 21st March","Seriously Spacious Studio - Tower Hill

Recently refurbished, this Studio apartment is situated in one of the most sought after Britomart-Downtown locations. Tower Hill is close to the waterfront, with Britomart train/bus station, Ferry Building, Queen Street, Auckland University, Britomart gourmet eateries and evening entertainment options galore, all within very short walking distance.

On offer is a great layout apartment positioned on the 9th floor with fantastic city views from your own balcony. Fully furnished, spacious open plan living, full size kitchen, good sized bathroom.

This is a safe complex, which will suit tenant seeking a restful place at the end of a working day, whilst having Auckland's best shopping, dining, and recreation on your doorstep! Tenants can also enjoy complimentary use of the gym, located on the second floor.

Available from 21/03, $400pw. Water is included in the rent. Good references and clean credit history are essential.

Note, there are remedial works taking place on the exterior of the building and this was taken into consideration when setting the advertised weekly rent.

For more info, please contact Amar Durakovic, 021 479 566, or email, a.durakovic@barfoot.co.nz

Move in cost: First two weeks rent as well as the bond, equivalent to four weeks rent.




Read more",Amar Durakovic : 021479 566
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/26001521,"202/85 Wakefield Street, City Centre","$510 per week, available 26th March","202/85 Wakefield Street, City Centre


The two bedroom apartment in the Waldorf Tetra House is available soon!

Located in the heart of the university precinct and just a short stroll away from Queen St and AUT with Auckland University almost across the road, this is also in Auckland Grammar Zone and within walking distance of the Auckland Public Library, Aotea Square, Net Café.

This is a furnished, 2 bedroom apartment of approx. 43m² floor area including a balcony which has a near new bathroom, and a kitchen with granite bench-top for added joy to your cooking, and large windows in both bedrooms and living room that provides lots of brightness to this lovely apartment.

Close to local schools and shops!

Register your details now to view!

Move in cost:4 weeks bond and 1 week rent in advance.


***To register for viewings please click on ""book a viewing time"" on the Barfoot website, enter your contact details and you will automatically be updated when viewing time is available***

Read more",Rowan Ma : 027702 2032
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/26001600,"8H/113 Vincent Street, City Centre","$400 per week, available 13th April","Water included one bedroom apartment is available now!

The fully furnished one bedroom apartment in the Winsun Heights Apartment is available now!

The apartment is located on the beautifully leafy Vincent Street. It's always popular with tenants.

This well appointed apartments have everything you need - stroll to Uni, K' Road or Queen Street and within walking distance of the Auckland Public Library, Aotea Square, Net Café.

No pets
No smoker


***To register for viewings please click on ""book a viewing time"" on the Barfoot & Thompson website, enter your contact details and you will automatically be updated when viewing time is available***

Read more",Rowan Ma : 027702 2032
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/30001891,"1D/8 White Street, City Centre","$450 per week, available 13th March","Fully Furnished One-Bedroom Apartment – Upper Queen Street

Live in the heart of the city! Fully furnished one-bedroom apartment is perfectly located just off Queen Street, putting cafes, shops, and all city amenities right at your doorstep.

Features:

- One double bedroom, fully furnished. Includes bed
- Open-plan living with combined kitchen, dining, and lounge areas.
- Includes kitchenware
- Includes washing machine, and dryer.
- Balcony right outside the lounge

TO VIEW: Find the property online at https://www.barfoot.co.nz/branches/greenlane/rentals. Click the BOOK A VIEWING link and register to view. Upon registration, you will receive a confirmation email/txt with more information regarding the viewing.

Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person.

LANDLORDS: Barfoot and Thompson Greenlane offers full property management services. Please give me a call to discuss your requirements on 0275522352 or email j.akiono@barfoot.co.nz

Read more",Jack Akiono : 027552 2352
